2023-02-02 22:02:216 INFO  EligibilityChecker :174 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:854 INFO  EligibilityChecker :178 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-no']]
2023-02-02 22:02:16 INFO  EligibilityChecker :182 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:637 INFO  EligibilityChecker :186 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //label[@id='label-no']]
2023-02-02 22:02:801 INFO  EligibilityChecker :190 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:462 INFO  EligibilityChecker :194 - Verify register Text:  displayed on register page Proxy element for: DefaultElementLocator 'By.xpath: //h1[@id='result-heading']'
2023-02-02 22:02:596 INFO  EligibilityChecker :97 - Clicking on 'I'm OK with analytics cookies'
2023-02-02 22:02:749 INFO  EligibilityChecker :102 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:670 INFO  EligibilityChecker :106 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='radio-wales']]
2023-02-02 22:02:809 INFO  EligibilityChecker :110 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:754 INFO  EligibilityChecker :114 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='radio-yes']]
2023-02-02 22:02:909 INFO  EligibilityChecker :118 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:526 INFO  EligibilityChecker :122 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='radio-wales']]
2023-02-02 22:02:695 INFO  EligibilityChecker :126 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:433 INFO  EligibilityChecker :130 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='dob-day']]
2023-02-02 22:02:665 INFO  EligibilityChecker :134 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='dob-month']]
2023-02-02 22:02:829 INFO  EligibilityChecker :138 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='dob-year']]
2023-02-02 22:02:971 INFO  EligibilityChecker :142 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:624 INFO  EligibilityChecker :146 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='radio-yes']]
2023-02-02 22:02:774 INFO  EligibilityChecker :150 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:378 INFO  EligibilityChecker :154 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='radio-no']]
2023-02-02 22:02:505 INFO  EligibilityChecker :158 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (32db748fad515d1d66d2ad5a9081079b)] -> xpath: //input[@id='next-button']]
